numidx,peaks_0,peaks_1,peaks_2,peaks_3,peaks_4,tapes_0,tapes_1,tapes_2,tapes_3,tapes_4,coef0_0,coef0_1,coef0_2,coef0_3,coef0_4,coef1_0,coef1_1,coef1_2,coef1_3,coef1_4
833,589,1299,2068,2916,3760,888,976,977,1172,1372,227.554,191.381,187.35,185.043,187.045,-0.0135727,0.00715414,0.000110014,0.014614,0.0110365
834,601,1302,2070,2913,3763,890,976,977,1222,1373,218.215,199.657,186.396,187.417,184.759,-0.0159194,-0.00321191,-0.000669327,0.0150014,0.0105181
835,589,1304,2068,2916,3763,887,975,975,1171,1372,226.358,199.59,186.49,184.878,185.89,-0.0148395,-0.00654515,0.000968667,0.0146599,0.00992121
836,601,1301,2068,2920,3760,889,976,976,1170,1372,218.415,200.74,186.989,182.095,186.988,-0.0163741,-0.00376294,0.000644818,0.0132711,0.0108718
837,598,1294,2068,2924,3761,888,975,976,1169,1372,219.353,200.277,186.885,179.092,187.475,-0.016304,0.00221654,0.000116889,0.0123091,0.0106016
838,602,1293,2069,2922,3758,889,974,976,1169,1373,217.633,207.863,186.776,180.442,188.308,-0.0163665,-0.00302645,-0.000270793,0.0124199,0.0115161
839,601,1291,2072,2914,3763,889,975,975,1212,1373,217.283,201.339,183.504,186.299,184.97,-0.0175111,0.0041713,-0.00012884,0.0147921,0.0107079
840,600,1298,2068,2924,3760,889,975,977,1169,1373,217.331,200.852,186.917,178.927,187.666,-0.0164564,-0.0021235,-0.000159281,0.0120947,0.0115547
841,596,1304,2067,2923,3762,889,975,977,1169,1373,220.681,198.197,187.561,180.006,186.588,-0.0160258,-0.00556878,-0.000174573,0.0128171,0.0109092
842,592,1302,2068,2917,3758,888,977,977,1170,1372,225.836,201.64,187.376,184.448,188.273,-0.0146646,-0.0053643,0.000202666,0.0140218,0.0116842
843,598,1291,2067,2921,3756,889,975,975,1169,1373,218.934,205.593,187.448,181.093,189.578,-0.0162836,-0.000580633,7.09061e-06,0.013508,0.0130354
844,598,1302,2065,2913,3760,889,976,977,1229,1372,218.723,198.864,188.764,187.628,187.834,-0.0162361,-0.00420385,0.000515504,0.0144159,0.0111027
845,594,1302,2068,2919,3757,889,975,975,1169,1373,223.958,200.845,187.404,183.01,188.178,-0.0148246,-0.00489746,1.66054e-05,0.0133834,0.012627
846,588,1304,2067,2925,3762,888,976,976,1169,1371,226.655,195.771,187.638,178.817,186.314,-0.013977,-0.00265759,-3.10553e-05,0.0120572,0.011207
847,596,1300,2073,2923,3758,889,974,976,1168,1372,220.529,198.323,183.28,180.722,188.546,-0.0156099,-0.00142958,-0.000926666,0.0121705,0.0122777
848,588,1295,2065,2923,3761,888,976,977,1169,1372,226.879,200.229,188.977,180.694,187.396,-0.0142698,0.000826986,0.00093887,0.0118316,0.0111053
849,589,1302,2068,2924,3758,888,975,976,1168,1372,226.036,199.621,187.029,179.755,188.764,-0.0144868,-0.00502723,-0.000410155,0.0124842,0.0123503
850,601,1302,2069,2919,3757,889,977,976,1170,1372,218.526,196.897,187.015,183.271,189.115,-0.0162863,-0.00061327,-0.000700258,0.0137478,0.0121133
851,595,1296,2068,2915,3762,888,974,973,1181,1372,218.423,200.598,186.119,186.723,187.697,-0.0160287,-0.00183847,-0.000312005,0.0144827,0.0112985
852,599,1300,2067,2914,3758,889,977,977,1217,1373,218.054,200.344,187.675,187.472,188.585,-0.0163102,-0.00332263,-0.000146041,0.0144812,0.0126888
853,592,1289,2070,2923,3759,888,977,977,1169,1373,225.788,206.682,186.309,180.412,187.432,-0.0148427,0.00249821,-0.000404932,0.0127024,0.0117694
854,591,1297,2068,2923,3768,888,976,977,1169,1374,226.398,193.782,187.58,180.418,181.794,-0.0142041,0.00750565,-0.000297738,0.0118793,0.00761375
855,601,1302,2068,2918,3758,890,977,977,1171,1373,218.613,195.512,187.071,184.137,188.239,-0.0159355,0.00147537,0.000462446,0.013629,0.0114677
856,590,1300,2069,2923,3755,888,974,976,1168,1373,225.407,200.791,186.529,180.437,189.817,-0.0145373,-0.00420571,-0.00090703,0.0126044,0.013902
857,598,1297,2072,2918,3759,888,973,974,1169,1372,216.669,199.655,183.161,184.384,189.333,-0.017518,-0.00239512,-0.000938874,0.0140545,0.0123906
858,585,1299,2070,2925,3760,888,977,977,1169,1372,229.825,193.797,186.679,179.355,186.469,-0.0112107,0.00601767,-0.000690172,0.01147,0.0115381
859,603,1300,2069,2921,3762,889,977,976,1169,1373,216.006,200.463,186.204,181.942,186.359,-0.0178906,-0.00325955,0.000249519,0.0132648,0.0106677
860,589,1299,2067,2925,3763,888,976,976,1169,1372,223.714,200.13,186.952,179.625,186.773,-0.015188,-0.00449195,-0.000404891,0.0113338,0.0116153
861,588,1291,2068,2916,3763,888,976,976,1172,1373,225.255,197.264,186.826,186.06,186.762,-0.0144119,0.00629174,-0.000542235,0.0147535,0.0101693
862,597,1301,2070,2919,3758,889,975,976,1169,1373,221.877,197.791,186.546,183.498,188.402,-0.0149821,-0.000148618,-0.000683726,0.0143693,0.0115876
863,598,1297,2073,2925,3759,889,974,976,1170,1372,219.02,198.747,183.163,178.702,188.143,-0.0162347,0.000163376,-0.000678145,0.0125422,0.0117927
864,593,1283,2065,2915,3761,888,974,977,1170,1372,222.88,210.897,188.793,186.372,187.0,-0.0152209,0.00274629,0.000594197,0.0147797,0.0109772
865,595,1292,2068,2923,3755,888,975,975,1168,1374,221.429,196.97,186.945,181.096,190.402,-0.0153964,0.00728519,0.000654609,0.0115424,0.0135077
866,599,1301,2067,2914,3758,889,975,977,1241,1373,219.999,198.179,188.041,187.303,188.667,-0.0155723,-0.00108332,0.000267436,0.014763,0.0107569
867,587,1300,2062,2923,3759,888,977,976,1169,1373,227.802,201.041,191.021,181.339,187.388,-0.0141877,-0.00432536,0.00139339,0.0118748,0.0133465
868,598,1304,2067,2924,3761,889,976,975,1169,1373,218.96,197.699,187.687,180.267,187.307,-0.0161169,-0.00471446,-4.84656e-06,0.0119727,0.0111878
869,584,1295,2069,2926,3762,889,975,976,1170,1373,229.491,185.119,186.509,179.507,186.993,-0.013012,0.0156251,-0.000749905,0.0102028,0.0104526
870,603,1304,2068,2924,3762,888,976,975,1169,1373,215.501,197.446,187.033,179.89,186.677,-0.0176288,-0.00465627,6.28995e-05,0.0124943,0.0110229
871,585,1294,2072,2923,3760,888,975,975,1169,1373,228.262,191.714,183.777,181.242,188.072,-0.0131799,0.0101465,0.000354491,0.012183,0.0115323
872,589,1297,2070,2921,3760,888,974,976,1169,1373,225.935,194.114,185.107,182.031,188.471,-0.01493,0.00502197,0.000258751,0.0137526,0.0114004
