timestamp,angle_raw_2,angle_interp_2,angle_sg_2,angle_raw_1,angle_interp_1,angle_sg_1,pos_raw_2,pos_interp_2,pos_sg_2,pos_raw_1,pos_interp_1,pos_sg_1
523,25.18823285424696,25.18823285424696,24.09592504510013,19.79561656002228,19.79561656002228,19.47774459743027,271.35,271.35,271.5720385806159,210.79999999999995,210.79999999999995,211.39944034293998
524,26.024803840886282,26.024803840886282,24.608458845228988,18.512977877828533,18.512977877828533,19.409762916772376,271.95000000000005,271.95000000000005,271.6743319838072,211.95000000000005,211.95000000000005,211.3893760419159
525,26.12284735045673,26.12284735045673,25.12493077913944,19.619388647823474,19.619388647823474,19.17613459299467,271.7368421052631,271.7368421052631,271.68074541557667,211.04999999999995,211.04999999999995,211.30223862824602
526,25.985311213027806,25.985311213027806,25.585350383442407,17.049861257508294,17.049861257508294,19.074573719941267,271.6,271.6,271.43894022386434,210.68421052631584,210.68421052631584,211.021331269351
527,25.199528548839474,25.199528548839474,26.19436342357011,19.779004649571036,19.779004649571036,19.383795840052834,271.54999999999995,271.54999999999995,271.16839247440015,210.95000000000005,210.95000000000005,210.7932007620874
528,25.02164664148464,25.02164664148464,26.34884860620726,20.70990085262736,20.70990085262736,19.383285941206246,270.95000000000005,270.95000000000005,270.8903381757576,210.89999999999998,210.89999999999998,210.6000595379864
529,25.86885307668788,25.86885307668788,26.52950269023667,19.989209993303625,19.989209993303625,19.682018031054888,270.52631578947364,270.52631578947364,270.66546320552663,210.64999999999998,210.64999999999998,210.53792569659558
530,26.816966718195445,26.816966718195445,26.624195918530756,18.21160307265627,18.21160307265627,19.67557899391184,270.31578947368416,270.31578947368416,270.3012693498467,210.79999999999995,210.79999999999995,210.34948559180873
531,28.0043518671023,28.0043518671023,26.87275055680398,20.97971843497609,20.97971843497609,19.901368375199958,269.20000000000005,269.20000000000005,269.939264110504,209.35000000000002,209.35000000000002,210.0538128125756
532,26.808529970734174,26.808529970734174,27.135578602745372,20.67696539411431,20.67696539411431,20.16391333548162,269.29999999999995,269.29999999999995,269.72581567039924,209.54999999999995,209.54999999999995,209.99081686115858
533,27.815001632062007,27.815001632062007,27.39273613475182,20.796595895934942,20.796595895934942,20.45763016492456,270.15,270.15,269.5307144558243,210.14999999999998,210.14999999999998,209.89197666111093
534,27.386241129893715,27.386241129893715,27.586692587735225,17.982072479204845,17.982072479204845,20.29052421099199,269.95000000000005,269.95000000000005,269.2979328411541,210.15789473684208,210.15789473684208,209.71243153131815
535,28.114790885268825,28.114790885268825,27.86725111650321,21.40944020242514,21.40944020242514,20.29076634909047,269.04999999999995,269.04999999999995,269.3774017623258,209.84210526315792,209.84210526315792,209.72266253870086
536,27.739666483932137,27.739666483932137,27.840533223439074,19.380751599323453,19.380751599323453,20.507731891755917,268.8947368421052,268.8947368421052,269.55903072160186,209.25,209.25,209.87879495118
537,27.31603051029765,27.31603051029765,27.60176159135876,21.861466756217617,21.861466756217617,20.49957092367962,269.63157894736844,269.63157894736844,269.74899738033014,209.75,209.75,210.1162824482031
538,27.245019906405716,27.245019906405716,27.328117180154436,21.265388144244234,21.265388144244234,20.20582172889922,269.7894736842105,269.7894736842105,269.7827554179581,210.5,210.5,210.24416765896757
539,27.62990842920947,27.62990842920947,27.42205606474548,19.47658387602481,19.47658387602481,19.97826001242283,269.36842105263156,269.36842105263156,269.69338413908224,210.0,210.0,210.23734936889852
540,27.817383448229876,27.817383448229876,27.310468711392993,19.37624479096658,19.37624479096658,19.92892822618692,269.70000000000005,269.70000000000005,269.53557751845824,210.15789473684208,210.15789473684208,210.17632531555248
541,28.415065096712254,28.415065096712254,27.432453901159654,20.03388477596639,20.03388477596639,19.73147680421987,271.35,271.35,269.5359490354861,211.39999999999998,211.39999999999998,210.21190997856746
542,25.749915589240057,25.749915589240057,27.709338314849774,19.96506350194483,19.96506350194483,19.424028554168288,269.70000000000005,269.70000000000005,269.44745891879165,210.79999999999995,210.79999999999995,210.18578471064654
543,26.46836572770937,26.46836572770937,27.963933159902147,18.20357594663091,18.20357594663091,19.512162975855873,268.54999999999995,268.54999999999995,269.1650916884987,209.89999999999998,209.89999999999998,210.11459871398068
544,28.18287840939808,28.18287840939808,28.16098602979699,18.984655487632395,18.984655487632395,19.13156824859057,267.70000000000005,267.70000000000005,268.94083829483355,208.73684210526312,208.73684210526312,210.07143843772442
545,29.75178240292648,29.75178240292648,27.98295494563862,18.73594957912679,18.73594957912679,19.305189810168223,268.7368421052631,268.7368421052631,268.76062157656736,209.95000000000005,209.95000000000005,210.02741605144197
546,28.132516442949598,28.132516442949598,28.16872196419071,20.404761978426844,20.404761978426844,19.32173182333734,268.52631578947364,268.52631578947364,268.52450583472404,209.79999999999995,209.79999999999995,210.0343248392486
547,29.52584856330177,29.52584856330177,28.087815441663324,18.802668885552407,18.802668885552407,19.33682576304727,268.7368421052631,268.7368421052631,268.177135032152,210.14999999999998,210.14999999999998,209.8962800666837
548,28.860037633991833,28.860037633991833,27.96396417392232,21.061094478376027,21.061094478376027,19.3331199116009,267.57894736842104,267.57894736842104,267.9170778756862,209.60000000000002,209.60000000000002,209.7200119075982
549,26.687081724917487,26.687081724917487,28.128944684113723,19.276673523586183,19.276673523586183,19.642882183915997,267.8947368421052,267.8947368421052,267.8436437246978,210.25,210.25,209.6589426053834
550,26.882394384956463,26.882394384956463,27.998498842357023,17.98554947648124,17.98554947648124,19.712056722116014,268.70000000000005,268.70000000000005,267.74316742081595,210.64999999999998,210.64999999999998,209.6978280542998
551,26.458545626875242,26.458545626875242,27.845560905654402,20.72961936406265,20.72961936406265,19.583609715706114,267.35,267.35,267.56456299118986,209.45000000000005,209.45000000000005,209.65182662538817
552,29.834053762799215,29.834053762799215,27.81989899675439,18.34226598502297,18.34226598502297,19.628886071370278,266.70000000000005,266.70000000000005,267.243848535367,209.05263157894728,209.05263157894728,209.48830197666229
553,25.949269443510847,25.949269443510847,27.736657848882754,20.537304844152313,20.537304844152313,19.250292227767407,266.7894736842105,266.7894736842105,267.05227911407627,208.60000000000002,208.60000000000002,209.41517980471656
554,28.252903305796252,28.252903305796252,27.566545249610066,19.81879301498622,19.81879301498622,19.527751445381558,267.15,267.15,266.87101690878933,209.0,209.0,209.28028340081087
555,29.50505825276346,29.50505825276346,27.536093225888735,20.20333275486414,20.20333275486414,19.49137840746238,266.4,266.4,266.86068111455256,209.21052631578948,209.21052631578948,209.2618694927375
556,28.02957288735982,28.02957288735982,27.76683079175651,17.534781740988908,17.534781740988908,19.507618423178734,266.85,266.85,266.57532745892024,209.85000000000002,209.85000000000002,209.11275303643842
557,27.63628893197332,27.63628893197332,27.74813876518853,19.67720320797823,19.67720320797823,19.621329980499365,266.45000000000005,266.45000000000005,266.26658728268785,209.10000000000002,209.10000000000002,208.94424624910812
